COLLEGE OF ENGINEERING - TIMETABLE: ISE_S5_B,,,,,,
,,,,,,
Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
08:30-09:30,"Information Security
[THEORY]
Assistant Professor 8
CR_3",FREE,"Cloud Computing
[THEORY]
Assistant Professor 4
CR_2",FREE,FREE,"Cloud Computing
[THEORY]
Assistant Professor 4
CR_1"
09:30-10:30,"Artificial Intelligence
[OE]
Associate Professor 6
CR_5",FREE,"Artificial Intelligence
[OE]
Associate Professor 6
CR_4",FREE,FREE,"Machine Learning
[THEORY]
Professor 3
CR_1"
10:30-11:00,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK
11:00-11:50,FREE,FREE,"Machine Learning
[THEORY]
Professor 3
CR_2",FREE,FREE,FREE
11:50-12:40,FREE,"Information Security
[THEORY]
Assistant Professor 8
CR_3","Web Technology
[THEORY]
Assistant Professor 8
CR_2","Software Engineering
[THEORY]
Assistant Professor 4
CR_3",FREE,FREE
12:40-13:30,FREE,"Software Engineering
[THEORY]
Assistant Professor 4
CR_1","Machine Learning
[THEORY]
Professor 3
CR_4","Information Security
[THEORY]
Assistant Professor 8
CR_2",FREE,FREE
13:30-14:30,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK
14:30-15:30,"Physical Education
[PE]
Associate Professor 6
CR_4","Physical Education
[PE]
Associate Professor 6
CR_4","Web Technology
[THEORY]
Assistant Professor 8
CR_2",FREE,FREE,"Machine Learning Lab
[LAB]
Assistant Professor 5
LAB_1"
15:30-16:30,FREE,"Software Engineering
[THEORY]
Assistant Professor 4
CR_1",FREE,"Cloud Computing
[THEORY]
Assistant Professor 4
CR_2","Data Mining
[THEORY]
Professor 3
CR_2","Machine Learning Lab
[LAB]
Assistant Professor 5
LAB_1"
16:30-17:30,FREE,"Web Technology
[THEORY]
Assistant Professor 8
CR_1",FREE,"Data Mining
[THEORY]
Professor 3
CR_2","Data Mining
[THEORY]
Professor 3
CR_2","Machine Learning Lab
[LAB]
Assistant Professor 5
LAB_1"
