COLLEGE OF ENGINEERING - TIMETABLE: CSBS_S7_A,,,,,,
,,,,,,
Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
08:30-09:30,FREE,"Project Management
[THEORY]
Assistant Professor 5
CR_6",FREE,"Distributed Systems
[THEORY]
Assistant Professor 5
CR_4",FREE,"Distributed Systems
[THEORY]
Assistant Professor 5
CR_4"
09:30-10:30,"Big Data Analytics
[THEORY]
Professor 4
CR_4","Deep Learning
[THEORY]
Professor 4
CR_4","Business Intelligence
[OE]
Assistant Professor 9
CR_6","Business Intelligence
[OE]
Assistant Professor 9
CR_5",FREE,FREE
10:30-11:00,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK
11:00-11:50,"Deep Learning Lab
[LAB]
Associate Professor 5
LAB_2",FREE,"Project Management
[THEORY]
Assistant Professor 5
CR_7","Big Data Analytics
[THEORY]
Professor 4
CR_7","Big Data Analytics
[THEORY]
Professor 4
CR_7","Deep Learning
[THEORY]
Professor 4
CR_6"
11:50-12:40,"Deep Learning Lab
[LAB]
Associate Professor 5
LAB_2",FREE,"Natural Language Processing
[THEORY]
Associate Professor 5
CR_7","Natural Language Processing
[THEORY]
Associate Professor 5
CR_7","Business Intelligence
[THEORY]
Assistant Professor 9
CR_7",FREE
12:40-13:30,"Deep Learning Lab
[LAB]
Associate Professor 5
LAB_2","Distributed Systems
[THEORY]
Assistant Professor 5
CR_5",FREE,"Natural Language Processing
[THEORY]
Associate Professor 5
CR_6","Project Management
[THEORY]
Assistant Professor 5
CR_5",FREE
13:30-14:30,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK
14:30-15:30,FREE,"Physical Education
[PE]
Professor 4
CR_5",FREE,"Physical Education
[PE]
Professor 4
CR_5","Business Intelligence
[THEORY]
Assistant Professor 9
CR_4",FREE
15:30-16:30,FREE,FREE,FREE,FREE,"Deep Learning
[THEORY]
Professor 4
CR_7",FREE
16:30-17:30,FREE,FREE,FREE,FREE,"Business Intelligence
[THEORY]
Assistant Professor 9
CR_6",FREE
