COLLEGE OF ENGINEERING - TIMETABLE: CSBS_S1_B,,,,,,
,,,,,,
Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
08:30-09:30,FREE,FREE,FREE,"Digital Logic
[THEORY]
Assistant Professor 10
CR_3",FREE,FREE
09:30-10:30,FREE,FREE,FREE,"Engineering Mathematics
[THEORY]
Assistant Professor 3
CR_2",FREE,FREE
10:30-11:00,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK
11:00-11:50,"Discrete Mathematics
[THEORY]
Professor 2
CR_6","Communication Skills
[THEORY]
Assistant Professor 3
CR_5","Programming Fundamentals
[THEORY]
Assistant Professor 8
CR_4","Computer Organization
[THEORY]
Assistant Professor 10
CR_5","Programming Fundamentals
[THEORY]
Assistant Professor 8
CR_5","Communication Skills
[THEORY]
Assistant Professor 3
CR_4"
11:50-12:40,"Digital Logic
[THEORY]
Assistant Professor 10
CR_6","Computer Organization
[THEORY]
Assistant Professor 10
CR_4","Discrete Mathematics
[THEORY]
Professor 2
CR_4","Discrete Mathematics
[THEORY]
Professor 2
CR_5","Engineering Mathematics
[THEORY]
Assistant Professor 3
CR_4",FREE
12:40-13:30,"Programming Fundamentals
[THEORY]
Assistant Professor 8
CR_4","Computer Organization
[THEORY]
Assistant Professor 10
CR_2",FREE,"Engineering Mathematics
[THEORY]
Assistant Professor 3
CR_4",FREE,FREE
13:30-14:30,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK
14:30-15:30,FREE,FREE,FREE,"Programming Fundamentals Lab
[LAB]
Assistant Professor 10
LAB_1",FREE,FREE
15:30-16:30,FREE,"Digital Logic
[THEORY]
Assistant Professor 10
CR_4",FREE,"Programming Fundamentals Lab
[LAB]
Assistant Professor 10
LAB_1","Communication Skills
[THEORY]
Assistant Professor 3
CR_4",FREE
16:30-17:30,FREE,FREE,FREE,"Programming Fundamentals Lab
[LAB]
Assistant Professor 10
LAB_1",FREE,FREE
