COLLEGE OF ENGINEERING - TIMETABLE: ISE_S7_B,,,,,,
,,,,,,
Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
08:30-09:30,FREE,FREE,"Project Management
[THEORY]
Assistant Professor 5
CR_3",FREE,FREE,FREE
09:30-10:30,FREE,FREE,"Artificial Intelligence
[OE]
Associate Professor 3
CR_5",FREE,FREE,"Artificial Intelligence
[OE]
Associate Professor 3
CR_3"
10:30-11:00,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK
11:00-11:50,"Advanced Database Systems
[THEORY]
Associate Professor 3
CR_4","Deep Learning Lab
[LAB]
Associate Professor 5
LAB_1","Deep Learning
[THEORY]
Assistant Professor 6
CR_3","Project Management
[THEORY]
Assistant Professor 5
CR_4","Distributed Systems
[THEORY]
Assistant Professor 5
CR_4","Natural Language Processing
[THEORY]
Assistant Professor 6
CR_3"
11:50-12:40,"Big Data Analytics
[THEORY]
Professor 3
CR_4","Deep Learning Lab
[LAB]
Associate Professor 5
LAB_1",FREE,FREE,"Advanced Database Systems
[THEORY]
Associate Professor 3
CR_2","Big Data Analytics
[THEORY]
Professor 3
CR_5"
12:40-13:30,FREE,"Deep Learning Lab
[LAB]
Associate Professor 5
LAB_1",FREE,FREE,FREE,"Project Management
[THEORY]
Assistant Professor 5
CR_1"
13:30-14:30,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK
14:30-15:30,"Physical Education
[PE]
Professor 4
CR_5",FREE,"Physical Education
[PE]
Professor 4
CR_6",FREE,FREE,"Deep Learning
[THEORY]
Assistant Professor 6
CR_1"
15:30-16:30,"Natural Language Processing
[THEORY]
Assistant Professor 6
CR_2","Deep Learning
[THEORY]
Assistant Professor 6
CR_2",FREE,"Big Data Analytics
[THEORY]
Professor 3
CR_4","Natural Language Processing
[THEORY]
Assistant Professor 6
CR_3",FREE
16:30-17:30,"Advanced Database Systems
[THEORY]
Associate Professor 3
CR_2",FREE,FREE,"Distributed Systems
[THEORY]
Assistant Professor 5
CR_4","Distributed Systems
[THEORY]
Assistant Professor 5
CR_3",FREE
