COLLEGE OF ENGINEERING - TIMETABLE: CSBS_S1_A,,,,,,
,,,,,,
Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
08:30-09:30,"Communication Skills
[THEORY]
Assistant Professor 3
CR_4",FREE,"Computer Organization
[THEORY]
Assistant Professor 10
CR_4",FREE,"Engineering Mathematics
[THEORY]
Assistant Professor 3
CR_3",FREE
09:30-10:30,"Programming Fundamentals
[THEORY]
Professor 2
CR_3",FREE,"Communication Skills
[THEORY]
Assistant Professor 3
CR_2",FREE,FREE,FREE
10:30-11:00,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK,SHORT BREAK
11:00-11:50,"Computer Organization
[THEORY]
Assistant Professor 10
CR_5","Digital Logic
[THEORY]
Assistant Professor 10
CR_4","Programming Fundamentals Lab
[LAB]
Assistant Professor 10
LAB_1",FREE,FREE,FREE
11:50-12:40,"Discrete Mathematics
[THEORY]
Professor 2
CR_5",FREE,"Programming Fundamentals Lab
[LAB]
Assistant Professor 10
LAB_1",FREE,"Discrete Mathematics
[THEORY]
Professor 2
CR_3",FREE
12:40-13:30,"Communication Skills
[THEORY]
Assistant Professor 3
CR_3",FREE,"Programming Fundamentals Lab
[LAB]
Assistant Professor 10
LAB_1","Programming Fundamentals
[THEORY]
Professor 2
CR_3",FREE,FREE
13:30-14:30,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK,LUNCH BREAK
14:30-15:30,"Discrete Mathematics
[THEORY]
Professor 2
CR_2","Digital Logic
[THEORY]
Assistant Professor 10
CR_2","Computer Organization
[THEORY]
Assistant Professor 10
CR_4",FREE,FREE,FREE
15:30-16:30,FREE,"Engineering Mathematics
[THEORY]
Assistant Professor 3
CR_3",FREE,"Programming Fundamentals
[THEORY]
Professor 2
CR_5",FREE,"Engineering Mathematics
[THEORY]
Assistant Professor 3
CR_5"
16:30-17:30,FREE,"Digital Logic
[THEORY]
Assistant Professor 10
CR_2",FREE,FREE,FREE,FREE
